Date,Close,High,Low,Open,Volume
2019-07-22,185.4569549560547,185.85189616614008,184.40700220572938,184.40700220572938,18954900
2019-07-23,186.67063903808594,186.68990840416853,185.2257452445055,186.46836213798773,23786700
2019-07-24,187.98069763183594,187.99033966506252,185.93858554590688,185.95785491413866,20422900
2019-07-25,186.19863891601562,187.373820308589,185.84222180632116,187.34492361026497,23434700
2019-07-26,188.1155548095703,188.36601250324634,187.28714834987107,187.383480493319,20431200
2019-07-29,187.4701385498047,188.00956318515065,186.2853298187256,187.94214245484187,20451700
2019-07-30,186.66098022460938,187.39305433186996,185.90000942220803,186.03486556560387,18705000
2019-07-31,184.07949829101562,187.2871499810236,182.36489194990384,187.1619358313165,41627500
2019-08-01,183.1643829345703,187.8169431941283,182.27818308011467,184.39735792322347,63251600
2019-08-02,180.4672393798828,182.04698932806812,179.3691206927079,181.786904331621,55214000
2019-08-05,174.0904083251953,176.76827660424377,172.61661803846064,176.69121384894956,75040000
2019-08-06,176.5274658203125,177.04763575818083,174.41793346674714,175.69905955107834,41897200
2019-08-07,177.4811248779297,177.7315678496275,173.28129957104417,174.61060659377742,49990600
2019-08-08,181.3437957763672,181.40160387376963,177.7893694426426,178.28062803391683,38418100
2019-08-09,179.63885498046875,181.0933762751488,178.23248505919963,180.47688877363035,33608900
2019-08-12,177.5774688720703,179.0705141660501,176.75868977041213,178.53108945361598,24642900
2019-08-13,181.46900939941406,182.71161147237356,177.25955726519496,177.42331011523035,40241900
2019-08-14,176.04583740234375,179.11864692298465,175.71833170188015,178.55032561367105,51000500
2019-08-15,175.84361267089844,176.84539943359283,174.5046780765406,176.27707795573522,36685000
2019-08-16,178.66590881347656,179.11864332487758,177.33661667411565,177.44257612780987,32781400
2019-08-19,181.5075225830078,181.89283635261097,180.6116956278381,181.24745232402026,22494100
2019-08-20,180.10118103027344,181.70982755421718,180.05301496824262,181.0548161448972,19902900
2019-08-21,181.7002410888672,182.27818986857304,181.054856867507,181.6809717200771,20418500
2019-08-22,181.11260986328125,182.49971014222098,179.68697085536064,182.03733358376206,24243700
2019-08-23,175.38119506835938,181.5267992852716,174.88992182953004,179.87962878555146,55372400
2019-08-26,178.03018188476562,178.0783332510765,176.35409984736438,177.3751557432383,27598900
2019-08-27,177.6544952392578,179.5713928993521,176.9609597638861,179.27278387704308,28012800
2019-08-28,178.290283203125,178.5888922776698,176.1903776477959,177.0765775361366,21792400
2019-08-29,181.0162811279297,181.53645109137966,179.82183037687673,180.50575319601467,25358900
2019-08-30,180.5828399658203,182.02773385916294,179.56178396624017,181.98919512433685,26319800
2019-09-03,178.82969665527344,180.30348726437606,178.23247854388362,179.37876339501253,27964200
2019-09-04,181.41123962402344,181.56536516114144,180.03376652063918,180.55393653385735,21592100
2019-09-05,184.7344970703125,185.26429443083154,183.3473965984883,183.41483203447282,33932600
2019-09-06,184.5514678955078,185.11016193668547,184.14689938945918,185.04274120145402,19487800
2019-09-09,184.16616821289062,185.206493524614,183.23180236897852,185.1294307572767,24407600
2019-09-10,183.63641357421875,183.73274573034516,181.96997310044037,183.17405156090348,23744700
2019-09-11,185.360595703125,185.45692783235205,183.55929953268952,183.9831373841377,25063600
2019-09-12,186.13125610351562,187.55689554885666,185.88081308117233,186.49730065005227,28689900
